"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DMPK",375.387173171436,-0.731554811341253,0.181082962893982,-4.03988757224805,5.34768298578408e-05,0.0105867583892796
"PSMA1",2036.64044981761,0.433250566260954,0.107342068649622,4.03616747572786,5.43314392412166e-05,0.0106019943805363
"CHAC1",79.621673125698,-2.52592978130382,0.626414407730826,-4.03236220324808,5.52189934711362e-05,0.0106019943805363
"ABCA5",464.454371880123,-0.838728353921048,0.208317901544888,-4.02619432944086,5.66868461621529e-05,0.0106019943805363
"CXCL3",445.475400398056,2.14707888733579,0.533380054811943,4.02542027577841,5.68736470520386e-05,0.0106019943805363
"AC092115.2",16.3493887777398,1.9385100367864,0.481720068055347,4.02414216333557,5.7183368284478e-05,0.0106019943805363
"ADSL",746.699445806178,0.52417041567864,0.13029082931842,4.02307989304151,5.74420000954464e-05,0.0106019943805363
"ACSS1",1451.28564606931,-0.669815251257861,0.166528547606441,-4.02222478298943,5.76509989244615e-05,0.0106019943805363
"OTOF",528.240491643278,-1.22922009930089,0.30594519736583,-4.0177787063971,5.87493295809933e-05,0.0106019943805363
"RNF208",194.701378476279,-1.17091144299828,0.29149267741866,-4.01694976823224,5.89562847540393e-05,0.0106019943805363
"TSFM",546.394868547839,0.488186643523409,0.121546003643855,4.01647630434527,5.90748007455805e-05,0.0106019943805363
"ID2",3055.24849955786,1.31748087434006,0.328594582567112,4.00944186007989,6.08624356456338e-05,0.0107403884460661
"TIMMDC1",1577.3758387582,0.703532444429079,0.175529612293175,4.00805559379928,6.12207107854212e-05,0.0107403884460661
"ATF3",785.343408666927,0.897199936042974,0.223914369758902,4.00688860214298,6.15238623687584e-05,0.0107403884460661
"SLCO4C1",41.6981871864257,-1.93604643870851,0.484030400984697,-3.99984470969153,6.33840616521359e-05,0.0109654426658195
"DAP3",879.598917541113,0.426880297234517,0.107156644237841,3.98370348633754,6.78495218362143e-05,0.0116331639984002
"TRAPPC3",1101.75941029715,0.498594938367391,0.125266144977934,3.98028484436252,6.88327400294732e-05,0.0116973018299644
"VMP1",3615.64304310059,0.612848051830834,0.154146467847511,3.97575150691803,7.01573535425873e-05,0.0118178215796343
"AC002094.3",149.634337707557,1.35772434538362,0.341952872184421,3.97050136385863,7.17215455438185e-05,0.0119762507745908
"PI3",1940.51930164483,2.53301445361869,0.638809684932947,3.96520984788227,7.33314049531862e-05,0.0120767413837823
"MVK",615.135905217773,-0.669850767944053,0.168966543849788,-3.96439882524644,7.35811457533995e-05,0.0120767413837823
"NUDCD1",471.177172304365,0.697447174025032,0.176375272649567,3.95433647556005,7.67473404376915e-05,0.0124896540544491
"ANXA7",1251.72543086915,0.40392817564165,0.10237078349951,3.94573687758855,7.95549389725045e-05,0.0125678570421917
"AIRE",8.42578980434923,-2.48755072041587,0.630706453615558,-3.94407050404487,8.01100888127688e-05,0.0125678570421917
"ITPRIP",279.786364052102,1.01861178073265,0.258264838357345,3.94405907986306,8.01139073701607e-05,0.0125678570421917
"CEACAM21",164.705591141279,-1.52849021060653,0.387727347919045,-3.94217797328463,8.07450233836657e-05,0.0125678570421917
"NUP35",158.039770922571,0.526539610109749,0.13360027535287,3.94115662351018,8.1089654408787e-05,0.0125678570421917
"NAMPT",4209.29357546157,0.998170840403562,0.25328086806206,3.94096422695056,8.11547296376488e-05,0.0125678570421917
"CYP2D7",20.0336289420415,-1.67199982750597,0.425820026560815,-3.92654108124053,8.61761792953667e-05,0.0132387293680714
"MELTF",435.745389909516,-1.00281809040635,0.256269408375078,-3.91314006913623,9.11036537774544e-05,0.0138846306626068
"COL2A1",15.9011588902387,-1.51769191684888,0.388318889956386,-3.90836489314063,9.29228883599281e-05,0.0139728784359487
"FAM166B",98.6059913680056,-2.36949558913987,0.606349310745144,-3.90780618885834,9.31379700984966e-05,0.0139728784359487
"MMP9",2269.79911399734,2.24390354050782,0.575535970697663,3.89880677273354,9.66678749769534e-05,0.0143900248308716
"COL6A2",5325.04155995844,-1.06160501484905,0.272553319675641,-3.89503608362738,9.81841122586243e-05,0.0145033039054028
"PPFIA3",110.121189145647,-0.912219800038003,0.234651520687653,-3.88755119662006,0.00010126063433604,0.0147242819134646
"MRPL55",561.186550016141,0.519351702568247,0.133640316603205,3.88619030371103,0.000101829690545027,0.0147242819134646
"PDZK1",16.2434074794459,-1.54174863107262,0.396792282980249,-3.88553078576218,0.000102106552017836,0.0147242819134646
"LTBP3",1061.71675907968,-0.665445239604602,0.171436794459511,-3.88157770741429,0.000103780978832025,0.0147242819134646
"PSMA3",1558.02977864094,0.512110520983978,0.131971934877775,3.88045019919019,0.000104263292846289,0.0147242819134646
"PPP1R8",383.483328386123,0.412480129255054,0.106300654553275,3.88031598665584,0.000104320845605787,0.0147242819134646
"GPN1",569.323923183532,0.404612886376163,0.104318573579793,3.87862748206268,0.000105047472902393,0.0147242819134646
"SMIM10L2B",21.2850459756364,-1.85604613918198,0.479668304535749,-3.86943669538135,0.000109087100266411,0.0151797071479412
"POMP",3763.90952748663,0.47910083246166,0.124551694579785,3.84660228090884,0.000119767146494311,0.0165459605333112
"AL021396.1",27.7842241159077,1.25285766770118,0.32606801432529,3.84232004569241,0.000121876768436368,0.0166654544703495
"MAGOH",592.994123688525,0.533714229488205,0.138974415706528,3.84037757435332,0.000122845223492717,0.0166654544703495
"GADD45G",777.321252544484,-0.897188037400877,0.233667148230937,-3.83959852376925,0.000123235668113817,0.0166654544703495
"PSMD6",1592.57825361313,0.490046700544644,0.127806932393061,3.83427323830559,0.00012593608990882,0.0169115435980355
"SSPO",55.6813498195955,-1.40796255595005,0.36802912479745,-3.82568242859841,0.000130410318026168,0.0173907592851147
"CTPS1",799.045847322673,0.882743793016765,0.231096169711856,3.81981144091405,0.000133553731469661,0.0176871193476683
"CSRNP1",871.158592334699,0.666812659324274,0.174728147340343,3.81628643967378,0.000135475225239624,0.0178139828132956
"MPP2",31.3724062852766,-1.61051773248236,0.42238245920891,-3.81293706064105,0.000137325092385878,0.0178139828132956
"TM7SF2",760.154870455339,-0.961533399999254,0.252197099600348,-3.81262671744829,0.000137497694645894,0.0178139828132956
